timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668543.276,4.395,-482.422,-68.848,6.348,164.551,26704.181
1652668543.280,24.902,-897.461,-67.383,10.254,375.488,26704.185
1652668543.284,-53.711,-187.012,-52.246,-49.805,23.926,26704.189
1652668543.287,-88.867,-103.027,-41.992,-54.688,-120.117,26704.193
1652668543.291,-21.484,-456.543,-55.176,0.000,34.668,26704.197
1652668543.295,30.762,83.984,-60.059,19.531,22.461,26704.200
1652668543.299,-37.109,458.496,-52.734,-27.344,-184.570,26704.204
1652668543.303,-77.148,43.945,-55.664,-43.945,-184.082,26704.208
1652668543.304,-18.555,66.406,-53.223,-4.395,-104.980,26704.209
1652668543.308,54.688,400.391,-36.621,36.133,-109.863,26704.213
1652668543.312,5.371,393.066,-38.086,-15.625,-124.023,26704.217
1652668543.316,-98.145,55.664,-72.754,-92.285,-116.699,26704.221
1652668543.320,-74.707,-107.422,-75.195,-64.453,-48.340,26704.225
1652668543.324,17.578,-18.066,-36.133,3.418,26.855,26704.229
1652668543.328,-1.465,15.137,-37.598,-25.879,-8.301,26704.233
1652668543.331,-95.703,-403.320,-64.453,-78.125,110.352,26704.237
1652668543.335,-98.633,-1000.000,-60.547,-56.152,360.352,26704.241
1652668543.339,-20.020,-548.828,-44.922,-13.184,194.336,26704.245
1652668543.343,11.230,307.129,-42.969,-6.836,-44.922,26704.248
1652668543.347,-65.430,167.480,-58.594,-57.129,-63.477,26704.252
1652668543.349,-96.191,201.172,-61.523,-63.965,-112.305,26704.254
1652668543.353,-8.789,404.297,-40.527,3.906,-97.656,26704.258
1652668543.357,39.062,278.320,-29.785,23.926,-22.949,26704.262
1652668543.361,-49.805,112.793,-57.129,-50.781,-24.414,26704.266
1652668543.365,-109.375,176.270,-74.707,-88.379,-93.750,26704.270
1652668543.369,-69.336,45.410,-50.293,-57.129,-101.074,26704.274
1652668543.373,1.953,-109.863,-45.898,-12.695,31.738,26704.278
1652668543.376,-29.297,-657.227,-82.520,-37.109,226.074,26704.282
1652668543.380,-94.727,-481.445,-73.730,-80.566,39.551,26704.286
1652668543.384,-77.148,303.711,-61.035,-63.965,-227.539,26704.290
1652668543.388,0.488,52.734,-62.500,-3.418,-68.359,26704.293
1652668543.392,7.324,-249.023,-54.688,2.441,25.879,26704.297
1652668543.394,-77.148,167.480,-50.293,-59.570,-147.949,26704.314
1652668543.398,-92.285,312.012,-57.129,-65.430,-194.336,26704.318
1652668543.402,-0.488,65.430,-48.828,-1.465,-88.379,26704.321
1652668543.406,50.781,164.551,-39.062,28.809,14.160,26704.325
1652668543.410,-49.805,304.199,-56.641,-36.133,-66.406,26704.329
1652668543.414,-97.656,19.043,-67.871,-59.570,-131.836,26704.333
1652668543.418,-31.250,-540.039,-80.566,-8.789,145.508,26704.337
1652668543.421,18.066,-778.320,-74.219,16.113,295.410,26704.341
1652668543.425,-33.203,-99.121,-58.594,-35.645,21.973,26704.345
1652668543.429,-88.867,280.273,-59.570,-64.941,-205.078,26704.349
1652668543.433,-42.480,-452.637,-53.711,-20.020,-3.418,26704.353
1652668543.437,40.039,-497.070,-55.176,29.785,149.902,26704.357
1652668543.439,8.789,416.016,-64.453,-9.277,-62.012,26704.357
1652668543.443,-83.496,283.203,-49.805,-66.406,-138.184,26704.361
1652668543.447,-72.754,-69.336,-62.988,-39.551,-105.469,26704.365
1652668543.451,16.602,183.105,-76.660,26.855,-53.711,26704.369
