timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668355.521,3.418,214.844,-64.941,-6.836,-34.668,26516.427
1652668355.525,-108.398,-483.398,-49.805,-69.336,50.781,26516.431
1652668355.529,-94.727,-590.820,-71.777,-48.340,6.348,26516.435
1652668355.533,11.230,187.012,-62.988,17.578,-116.211,26516.439
1652668355.537,12.695,338.379,-51.270,7.812,-84.961,26516.443
1652668355.541,-84.473,-136.230,-54.199,-59.082,-26.855,26516.447
1652668355.545,-96.191,-351.562,-40.039,-52.246,3.906,26516.450
1652668355.548,1.465,-151.855,-33.691,15.137,9.277,26516.454
1652668355.552,45.410,204.590,-43.457,22.949,-60.059,26516.458
1652668355.556,-57.617,-373.047,-49.316,-40.527,33.203,26516.462
1652668355.560,-111.816,-763.184,-56.641,-52.246,126.465,26516.466
1652668355.564,-36.621,152.344,-78.125,-10.742,-50.781,26516.470
1652668355.564,-36.621,152.344,-78.125,-10.742,-50.781,26516.470
1652668355.566,50.781,301.270,-67.871,31.738,-46.875,26516.472
1652668355.570,-22.461,-55.176,-62.012,-22.461,9.277,26516.476
1652668355.574,-122.559,95.703,-71.289,-80.566,-62.012,26516.480
1652668355.578,-64.941,314.941,-50.293,-30.273,-126.953,26516.484
1652668355.582,41.992,141.113,-41.016,32.227,-25.879,26516.488
1652668355.586,6.348,-171.387,-58.594,-8.301,93.262,26516.492
1652668355.590,-93.750,-262.695,-54.199,-60.547,-26.855,26516.495
1652668355.593,-96.191,93.750,-44.434,-49.316,-123.535,26516.499
1652668355.597,-1.465,75.684,-51.270,2.441,0.977,26516.503
1652668355.601,9.766,-730.957,-69.336,2.441,247.559,26516.507
1652668355.605,-79.590,-466.309,-67.383,-60.059,134.766,26516.511
1652668355.609,-96.191,256.836,-61.035,-62.500,-159.180,26516.515
1652668355.612,-14.648,-229.004,-61.035,-1.465,77.148,26516.517
1652668355.616,40.527,-737.305,-42.969,19.043,322.754,26516.521
1652668355.620,-45.898,-83.496,-50.293,-49.805,15.137,26516.525
1652668355.624,-94.727,242.676,-63.477,-64.453,-159.668,26516.529
1652668355.628,-8.301,-28.809,-37.598,5.371,-108.398,26516.533
1652668355.632,66.406,-123.535,-27.832,41.016,27.832,26516.537
1652668355.636,-21.484,-175.781,-60.059,-38.086,46.387,26516.540
1652668355.639,-117.676,15.625,-85.449,-98.633,-115.234,26516.544
1652668355.643,-51.270,-456.055,-76.172,-31.250,14.160,26516.548
1652668355.647,64.453,-676.758,-46.875,47.852,175.781,26516.552
1652668355.651,28.320,208.008,-45.898,-9.766,-22.461,26516.556
1652668355.655,-81.055,175.781,-62.500,-79.102,-149.414,26516.560
1652668355.657,-71.289,-243.652,-56.152,-39.062,-90.332,26516.562
1652668355.661,35.645,-102.051,-29.785,32.715,25.391,26516.566
1652668355.665,55.664,303.711,-32.715,27.832,-10.254,26516.570
1652668355.669,-60.547,107.422,-56.152,-61.523,-84.961,26516.574
1652668355.673,-88.379,-357.910,-65.430,-73.242,-40.527,26516.578
1652668355.677,18.066,-332.031,-55.664,0.488,-30.273,26516.582
1652668355.681,59.570,-129.395,-56.152,13.184,-46.387,26516.586
1652668355.684,-32.227,-250.000,-57.129,-50.781,-37.598,26516.590
1652668355.688,-89.355,-745.605,-39.551,-62.012,68.359,26516.594
1652668355.692,-20.020,-272.949,-33.691,-9.766,12.207,26516.598
1652668355.696,59.082,268.555,-60.059,21.484,-36.133,26516.602
1652668355.700,-8.301,-51.270,-89.355,-26.855,29.297,26516.605
1652668355.701,-88.867,-253.418,-70.801,-62.500,-10.742,26516.607
1652668355.705,-52.734,-104.980,-50.293,-29.297,-21.973,26516.611
1652668355.709,35.156,310.059,-60.547,9.277,-41.992,26516.614
1652668355.713,18.066,-237.793,-53.223,-7.812,110.352,26516.618
1652668355.717,-95.215,-707.031,-49.316,-69.336,197.266,26516.622
1652668355.721,-100.586,-253.906,-57.129,-59.570,58.594,26516.626
1652668355.725,-5.371,-72.266,-67.871,7.324,6.836,26516.630
1652668355.728,20.996,-484.375,-62.988,8.789,106.445,26516.634
1652668355.732,-74.219,-773.438,-43.945,-50.781,149.414,26516.638
1652668355.736,-100.586,26.855,-39.062,-61.035,-133.301,26516.642
1652668355.740,-7.324,227.539,-47.363,2.441,-155.273,26516.646
1652668355.744,62.988,55.176,-38.574,41.504,-51.758,26516.650
1652668355.746,-30.273,176.758,-41.016,-34.668,-94.727,26516.652
1652668355.750,-109.375,248.047,-60.059,-86.426,-169.434,26516.656
1652668355.754,-48.340,52.246,-52.246,-37.109,-167.969,26516.660
1652668355.758,42.480,-27.832,-57.617,12.207,-70.312,26516.664
1652668355.762,1.465,189.941,-72.754,-26.855,-66.406,26516.668
1652668355.766,-102.051,-50.781,-63.477,-80.078,-67.383,26516.671
1652668355.770,-74.219,-327.637,-44.922,-36.133,12.207,26516.675
1652668355.773,34.180,-848.633,-34.668,42.969,288.574,26516.679
1652668355.777,38.574,-629.883,-26.855,20.020,234.375,26516.683
1652668355.781,-74.219,239.258,-40.039,-59.082,-124.023,26516.687
1652668355.785,-105.469,10.742,-66.895,-56.641,-115.234,26516.691
1652668355.789,-8.301,-42.969,-71.777,1.953,-31.738,26516.695
1652668355.791,32.227,29.297,-70.801,4.395,-19.531,26516.709
1652668355.795,-57.129,19.043,-57.129,-56.641,-112.305,26516.713
1652668355.799,-97.656,-355.469,-36.621,-54.199,-54.688,26516.717
1652668355.803,-20.020,-525.879,-39.551,6.836,82.520,26516.721
1652668355.807,56.152,117.188,-54.199,27.344,-19.043,26516.725
1652668355.811,-19.531,42.480,-65.918,-36.133,-34.180,26516.729
1652668355.815,-101.562,-597.656,-61.035,-59.570,173.340,26516.733
1652668355.818,-39.062,-712.402,-44.434,-0.488,166.016,26516.736
1652668355.822,57.617,146.973,-63.965,33.203,-71.777,26516.740
1652668355.826,23.438,209.473,-86.914,-0.977,-75.195,26516.744
1652668355.830,-70.801,-156.250,-58.105,-46.875,-40.527,26516.748
1652668355.834,-61.523,-18.555,-30.762,-31.738,-121.582,26516.752
1652668355.836,26.367,281.250,-41.992,12.207,-113.770,26516.756
1652668355.840,31.738,151.367,-48.828,3.906,-49.316,26516.760
1652668355.844,-73.242,-179.199,-58.594,-56.641,-41.016,26516.764
1652668355.848,-92.285,13.184,-70.801,-54.688,-74.707,26516.768
1652668355.852,19.043,207.520,-62.500,20.996,-87.402,26516.772
1652668355.856,67.383,-115.234,-46.875,41.504,77.637,26516.776
1652668355.860,-28.809,-700.684,-44.434,-12.207,199.707,26516.780
1652668355.863,-83.984,-394.043,-79.590,-41.504,-16.602,26516.783
1652668355.867,-30.762,223.145,-99.121,-20.020,-129.395,26516.787
1652668355.871,39.062,-23.438,-74.219,15.137,11.719,26516.791
1652668355.875,-18.066,-180.176,-54.199,-22.949,11.230,26516.795
1652668355.879,-106.445,84.473,-58.594,-67.383,-105.957,26516.799
1652668355.897,-62.988,-35.645,-57.617,-28.809,-108.887,26516.803
1652668355.901,29.297,-497.070,-54.688,33.203,207.031,26516.807
1652668355.905,20.020,-756.836,-54.688,18.555,327.148,26516.811
1652668355.909,-57.129,-96.680,-41.992,-30.762,-57.617,26516.815
1652668355.913,-60.059,111.816,-56.152,-30.762,-173.828,26516.819
1652668355.917,17.578,-290.039,-71.777,8.789,-3.418,26516.823
1652668355.921,26.367,-334.473,-59.570,0.977,65.430,26516.827
1652668355.924,-62.988,-145.508,-66.406,-55.176,-7.324,26516.830
1652668355.928,-99.121,97.168,-71.777,-68.848,-171.387,26516.834
1652668355.932,-20.996,-485.352,-61.523,-14.648,-54.688,26516.838
1652668355.936,33.691,-594.238,-64.941,13.672,39.551,26516.842
1652668355.940,-41.504,195.801,-57.129,-42.480,-142.090,26516.846
1652668355.941,-91.309,58.594,-41.992,-58.594,-208.984,26516.847
1652668355.945,-19.531,-119.141,-44.922,-4.395,-112.793,26516.850
1652668355.949,43.457,149.902,-59.082,21.484,-29.297,26516.854
1652668355.953,-14.648,115.723,-64.941,-25.391,-84.961,26516.858
1652668355.957,-92.773,-229.492,-65.918,-74.707,-18.555,26516.862
1652668355.961,-63.477,-494.141,-64.941,-41.016,105.469,26516.866
1652668355.965,42.969,-294.434,-65.918,22.461,115.234,26516.870
1652668355.968,37.109,158.203,-63.965,-9.766,14.160,26516.874
1652668355.972,-78.613,9.766,-56.152,-70.801,-68.359,26516.878
1652668355.976,-84.961,-891.113,-42.969,-41.992,174.316,26516.882
1652668355.980,26.855,-575.684,-36.621,28.809,173.828,26516.886
1652668355.984,49.316,348.633,-45.898,15.625,-37.109,26516.890
1652668355.987,-69.824,-118.652,-73.730,-58.105,-13.672,26516.892
1652668355.991,-110.840,-414.062,-81.543,-77.148,-76.660,26516.896
1652668355.995,-16.602,64.453,-62.500,-17.090,-187.988,26516.899
1652668355.999,52.734,240.723,-63.477,20.020,-198.730,26516.903
1652668356.003,-7.812,-290.527,-59.570,-24.414,-114.746,26516.907
1652668356.007,-88.379,-630.371,-71.777,-57.129,-40.039,26516.911
1652668356.011,-52.246,-332.031,-70.801,-23.438,-106.934,26516.915
1652668356.014,47.363,-58.594,-44.922,30.273,-49.805,26516.919
1652668356.018,15.625,-465.332,-32.715,2.441,123.535,26516.923
1652668356.022,-87.891,-869.629,-36.133,-62.012,175.781,26516.927
1652668356.026,-90.820,-37.109,-57.129,-70.801,-41.504,26516.931
1652668356.030,16.113,247.559,-67.383,-0.977,-100.586,26516.935
1652668356.032,21.484,66.406,-72.266,-7.812,-31.738,26516.937
1652668356.036,-79.102,191.406,-73.242,-78.125,-117.676,26516.941
1652668356.040,-92.773,263.672,-79.102,-73.730,-203.613,26516.944
1652668356.044,-16.113,114.746,-80.566,-26.855,-141.113,26516.948
1652668356.048,25.879,-42.480,-59.570,-11.230,-22.461,26516.952
1652668356.052,-65.430,-119.141,-64.453,-62.012,-0.977,26516.956
1652668356.056,-106.934,-173.828,-70.312,-76.660,-63.965,26516.960
1652668356.059,-21.484,-234.863,-55.664,-15.137,-30.762,26516.964
1652668356.063,32.715,-594.727,-65.430,19.531,178.711,26516.968
1652668356.067,-43.457,-344.238,-87.891,-46.387,25.879,26516.972
1652668356.071,-92.285,-54.199,-63.477,-70.312,-211.426,26516.976
1652668356.075,-26.855,-320.801,-40.039,-9.766,-45.410,26516.980
1652668356.077,65.430,-417.969,-56.152,37.109,152.832,26516.994
1652668356.081,14.160,-1.953,-58.594,-14.648,52.734,26516.998
1652668356.085,-99.609,302.246,-53.711,-83.008,-110.352,26517.002
1652668356.089,-82.520,-268.555,-49.316,-54.199,12.207,26517.006
1652668356.093,20.508,-436.523,-51.270,2.930,139.160,26517.010
1652668356.097,34.180,8.789,-75.684,-17.578,-1.953,26517.014
1652668356.101,-71.289,-90.820,-79.590,-70.801,-32.227,26517.018
1652668356.104,-90.820,-600.098,-71.777,-52.734,125.977,26517.022
1652668356.108,21.484,-663.574,-70.312,25.391,173.340,26517.025
1652668356.112,75.195,231.445,-59.082,34.180,-46.875,26517.029
